Order_ID,Category,SubCategory,Quantity,Amount,Profit,State,Payment_Mode,Order_Date
65,Electronics,Mobile,2,2018,471,Rajasthan,COD,08/12/2023
66,Furniture,Bed,5,4986,432,Uttar Pradesh,Credit Card,03/04/2023
67,Clothing,T-shirt,4,1058,298,Uttar Pradesh,UPI,12/07/2023
68,Clothing,T-shirt,4,626,35,Madhya Pradesh,Credit Card,06/07/2023
69,Electronics,Camera,3,4056,805,Uttar Pradesh,COD,03/05/2023
70,Clothing,Shirt,1,798,166,Rajasthan,COD,02/12/2023
71,Clothing,Jacket,5,4020,1082,Delhi,Credit Card,05/04/2023
72,Clothing,Jeans,5,1424,205,Uttar Pradesh,Credit Card,17/06/2023
73,Electronics,Mobile,3,3915,893,Madhya Pradesh,Credit Card,18/12/2023
74,Electronics,Laptop,2,1795,375,Delhi,Credit Card,12/10/2023
75,Furniture,Bookcase,2,1252,101,Uttar Pradesh,Credit Card,19/08/2023
76,Clothing,T-shirt,1,4205,711,Madhya Pradesh,COD,21/02/2023
77,Furniture,Bed,4,1311,260,Madhya Pradesh,Debit Card,11/10/2023
78,Furniture,Table,4,700,173,Uttar Pradesh,Credit Card,27/02/2023
79,Electronics,Headphones,3,933,80,Rajasthan,Credit Card,27/11/2023
80,Clothing,T-shirt,3,3634,904,Madhya Pradesh,UPI,18/08/2023
81,Furniture,Chair,3,2404,554,Delhi,COD,19/05/2023
82,Clothing,Jacket,3,1624,392,Rajasthan,COD,14/03/2023
83,Electronics,Laptop,3,4434,1157,Maharashtra,COD,26/11/2023
84,Furniture,Sofa,2,3422,885,Delhi,Credit Card,26/06/2023
85,Electronics,Tablet,5,4140,292,Delhi,Credit Card,13/02/2023
86,Furniture,Bookcase,5,559,125,Madhya Pradesh,UPI,13/02/2023
87,Clothing,Saree,5,1136,194,Rajasthan,Credit Card,10/12/2023
88,Electronics,Tablet,3,4776,1385,Rajasthan,COD,27/06/2023
89,Electronics,Camera,1,1541,81,Uttar Pradesh,COD,23/11/2023
90,Furniture,Table,2,3042,299,Uttar Pradesh,COD,25/05/2023
91,Furniture,Sofa,2,4623,667,Madhya Pradesh,Debit Card,27/08/2023
92,Furniture,Chair,3,661,115,Uttar Pradesh,UPI,08/07/2023
93,Electronics,Mobile,3,1771,96,Maharashtra,COD,15/02/2023
94,Furniture,Sofa,4,3889,551,Maharashtra,COD,05/01/2023
95,Furniture,Table,1,1549,253,Maharashtra,COD,08/07/2023
96,Furniture,Bed,5,3830,657,Maharashtra,Credit Card,06/12/2023
97,Electronics,Camera,2,4819,1256,Rajasthan,COD,09/12/2023
98,Clothing,T-shirt,4,2460,514,Madhya Pradesh,Debit Card,14/09/2023
99,Electronics,Camera,4,2969,680,Maharashtra,Credit Card,29/05/2023
100,Electronics,Camera,4,2175,132,Uttar Pradesh,UPI,18/05/2023
